User name,Event time,Event name,Source IP address,Error code,Resources,Event type,Event category,Hour_of_Day,Time_of_Day_Bucket,Is_Root_Account,Is_High_Risk_Action,Is_Console_Login,Is_Security_Error,Risk_Score,Risk_Level,Risk_Sort
root,2026-06-19 13:26:02+00:00,AttachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""soc-admin""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AdministratorAccess""}]",AwsApiCall,Management,13,Afternoon,True,True,False,False,12,High,2
root,2026-06-19 13:24:26+00:00,RemoveUserFromGroup,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""soc-admin""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""admin-group""}]",AwsApiCall,Management,13,Afternoon,True,False,False,False,5,Medium,3
root,2026-06-19 13:22:52+00:00,EnableMFADevice,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""soc-admin""},{""resourceType"":""AWS::IAM::MfaDevice"",""resourceName"":""arn:aws:iam::xxxxxxxxxxxx:mfa/MyMFA""}]",AwsApiCall,Management,13,Afternoon,True,False,False,False,5,Medium,3
root,2026-06-19 13:20:06+00:00,CreateVirtualMFADevice,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::MfaDevice"",""resourceName"":""arn:aws:iam::xxxxxxxxxxxx:mfa/MyMFA""},{""resourceType"":""AWS::IAM::MfaDevice"",""resourceName"":""MyMFA""}]",AwsApiCall,Management,13,Afternoon,True,True,False,False,12,High,2
root,2026-06-19 13:06:52+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,13,Afternoon,True,False,True,False,5,Medium,3
root,2026-06-15 06:11:10+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,6,Morning,True,False,True,False,5,Medium,3
root,2026-06-06 04:40:43+00:00,StopInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,4,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-06-06 02:34:56+00:00,StartInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,2,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-06-06 01:49:55+00:00,CreateAccessKey,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAxxxxxxxxxxxxxxxx""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""security-reader""}]",AwsApiCall,Management,1,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-06-06 01:47:25+00:00,AttachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""security-reader""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/SecurityAudit""}]",AwsApiCall,Management,1,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-06-06 01:47:24+00:00,AttachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""security-reader""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_ReadOnlyAccess""}]",AwsApiCall,Management,1,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-06-06 01:47:24+00:00,CreateUser,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAxxxxxxxxxxxxxxxx""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::xxxxxxxxxxxx:user/security-reader""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""security-reader""}]",AwsApiCall,Management,1,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-06-06 01:47:24+00:00,AttachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""security-reader""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/CloudWatchReadOnlyAccess""}]",AwsApiCall,Management,1,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-06-05 17:03:38+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,17,Night,True,False,True,False,5,Medium,3
root,2026-06-05 17:00:20+00:00,UpdateAccountEmailAddress,AWS Internal,,[],AwsApiCall,Management,17,Night,True,False,False,False,5,Medium,3
root,2026-06-05 17:00:19+00:00,EmailUpdated,99.237.32.xxx,,[],AwsConsoleSignIn,Management,17,Night,True,False,False,False,5,Medium,3
root,2026-06-05 16:51:44+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,16,Afternoon,True,False,True,False,5,Medium,3
root,2026-06-05 03:07:27+00:00,StopInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,3,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-06-05 03:03:19+00:00,StopInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,3,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-06-05 03:02:49+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,3,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-06-04 13:32:24+00:00,StartInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,13,Afternoon,True,True,False,False,12,High,2
root,2026-06-04 13:32:07+00:00,StartInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,13,Afternoon,True,True,False,False,12,High,2
root,2026-06-04 13:29:42+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,13,Afternoon,True,False,True,False,5,Medium,3
root,2026-06-04 13:29:19+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,13,Afternoon,True,False,True,False,5,Medium,3
root,2026-06-01 21:20:14+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,21,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-05-22 06:20:55+00:00,StopInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,6,Morning,True,True,False,False,12,High,2
root,2026-05-22 06:07:12+00:00,StopInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,6,Morning,True,True,False,False,12,High,2
root,2026-05-22 06:06:44+00:00,StopInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,6,Morning,True,True,False,False,12,High,2
root,2026-05-22 05:43:16+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,5,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-05-22 05:22:52+00:00,StartInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,5,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-05-21 22:04:51+00:00,StartInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,22,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-05-21 17:33:42+00:00,StartInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,17,Night,True,True,False,False,12,High,2
root,2026-05-21 17:33:08+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,17,Night,True,False,True,False,5,Medium,3
root,2026-05-21 17:32:37+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,17,Night,True,False,True,False,5,Medium,3
root,2026-05-14 03:10:16+00:00,StopInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,3,Outside-Hours,True,True,False,False,14,Critical,1
vpc-flow-logging+xxxxxxxxxxxx,2026-05-13 23:27:16+00:00,CreateLogStream,vpc-flow-logs.amazonaws.com,,[],AwsApiCall,Management,23,Outside-Hours,False,False,False,False,2,Low,4
ec2-instance,2026-05-13 23:22:55+00:00,RegisterManagedInstance,44.195.2.xxx,,[],AwsApiCall,Management,23,Outside-Hours,False,False,False,False,2,Low,4
,2026-05-13 23:21:47+00:00,SharedSnapshotVolumeCreated,ec2.amazonaws.com,,[],AwsServiceEvent,Management,23,Outside-Hours,False,False,False,False,2,Low,4
root,2026-05-13 23:21:44+00:00,RunInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Snapshot"",""resourceName"":""snap-08f61f1d69ca25dd6""},{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-05a301f942540bea6""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-05cf1e9f73fbad2e2""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-03e4f8c3fbc0fb261""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""},{""resourceType"":""AWS::EC2::KeyPair"",""resourceName"":""SOC-key""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-xxxxxxxx""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""splunk-sg""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0d31a72702597ffd6""}]",AwsApiCall,Management,23,Outside-Hours,True,False,False,False,7,Medium,3
soc-auto-block,2026-05-13 22:54:54+00:00,CreateLogStream,98.87.15.xxx,,[],AwsApiCall,Management,22,Outside-Hours,False,False,False,False,2,Low,4
soc-auto-block,2026-05-13 22:54:53+00:00,RevokeSecurityGroupIngress,98.87.15.xxx,Client.InvalidPermission.NotFound,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-xxxxxxxx""}]",AwsApiCall,Management,22,Outside-Hours,False,False,False,False,2,Low,4
root,2026-05-13 22:54:48+00:00,AuthorizeSecurityGroupIngress,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-xxxxxxxx""}]",AwsApiCall,Management,22,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-05-13 22:54:48+00:00,CreateSecurityGroup,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-05a301f942540bea6""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-xxxxxxxx""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""splunk-sg""}]",AwsApiCall,Management,22,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-05-13 17:53:18+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,17,Night,True,False,True,False,5,Medium,3
root,2026-05-11 05:59:01+00:00,DetachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""soc-admin""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonEC2FullAccess""}]",AwsApiCall,Management,5,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-05-11 05:59:01+00:00,DetachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""soc-admin""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/CloudWatchFullAccess""}]",AwsApiCall,Management,5,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-05-11 05:59:01+00:00,RemoveUserFromGroup,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""soc-admin""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""admin-group""}]",AwsApiCall,Management,5,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-05-11 05:59:01+00:00,DetachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""soc-admin""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/EC2InstanceConnect""}]",AwsApiCall,Management,5,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-05-11 05:59:01+00:00,DetachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""soc-admin""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_FullAccess""}]",AwsApiCall,Management,5,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-05-11 05:59:01+00:00,DeleteUser,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""soc-admin""}]",AwsApiCall,Management,5,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-05-11 05:59:01+00:00,DetachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""soc-admin""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonSNSFullAccess""}]",AwsApiCall,Management,5,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-05-11 05:59:01+00:00,DetachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""soc-admin""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonGuardDutyFullAccess""}]",AwsApiCall,Management,5,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-05-11 05:59:01+00:00,DetachUserPolicy,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""soc-admin""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonSSMManagedInstanceCore""}]",AwsApiCall,Management,5,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-05-11 05:59:00+00:00,DeleteLoginProfile,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""soc-admin""}]",AwsApiCall,Management,5,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-05-11 05:55:59+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,5,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-05-04 20:39:06+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,20,Night,True,False,True,False,5,Medium,3
root,2026-04-24 23:02:47+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,23,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-04-24 22:02:57+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,22,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-04-24 17:21:25+00:00,PutMetricFilter,99.237.32.xxx,,[],AwsApiCall,Management,17,Night,True,False,False,False,5,Medium,3
root,2026-04-24 17:12:33+00:00,PutMetricAlarm,99.237.32.xxx,,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""SSHBruteForceAlarm""}]",AwsApiCall,Management,17,Night,True,False,False,False,5,Medium,3
root,2026-04-24 17:06:58+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,17,Night,True,False,True,False,5,Medium,3
root,2026-04-22 02:51:14+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,2,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-04-21 06:24:45+00:00,StopInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,6,Morning,True,True,False,False,12,High,2
root,2026-04-21 06:24:32+00:00,StopInstances,99.237.32.xxx,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-xxxxxxxx""}]",AwsApiCall,Management,6,Morning,True,True,False,False,12,High,2
